customer_id,signup_date,city,state,segment,status
CUST000001,2023-12-08,Cuttack,Odisha,Value,active
CUST000002,2023-03-22,Durgapur,West Bengal,Mainstream,churned
CUST000003,2023-11-21,Panipat,Haryana,Mainstream,churned
CUST000004,2023-07-29,Jalandhar,Punjab,Mainstream,active
CUST000005,2023-10-26,Kochi,Kerala,Premium,active
CUST000006,2024-02-23,Noida,Uttar Pradesh,Value,active
CUST000007,2023-12-10,Warangal,Telangana,Health-focused,active
CUST000008,2023-05-05,Cuttack,Odisha,Mainstream,churned
CUST000009,2023-08-14,Kochi,Kerala,Value,active
CUST000010,2023-04-14,Salem,Tamil Nadu,Premium,active
CUST000011,2024-02-05,Ahmedabad,Gujarat,Value,active
CUST000012,2023-12-23,Bengaluru,Karnataka,Value,churned
CUST000013,2023-08-15,Rajkot,Gujarat,Value,churned
CUST000014,2023-06-03,Bhopal,Madhya Pradesh,Value,active
CUST000015,2024-02-17,Saket,Delhi,Health-focused,active
CUST000016,2023-12-05,Rajkot,Gujarat,Health-focused,active
CUST000017,2023-11-26,Amritsar,Punjab,Value,active
CUST000018,2023-11-15,Faridabad,Haryana,Value,active
CUST000019,2023-10-24,Dibrugarh,Assam,Value,active
CUST000020,2023-09-25,Ludhiana,Punjab,Value,active
CUST000021,2023-03-06,Mysuru,Karnataka,Mainstream,active
CUST000022,2023-06-06,Kota,Rajasthan,Value,active
CUST000023,2023-07-01,Ludhiana,Punjab,Value,active
CUST000024,2024-02-11,Silchar,Assam,Mainstream,active
CUST000025,2023-11-03,Amritsar,Punjab,Premium,active
CUST000026,2023-08-25,Dibrugarh,Assam,Value,churned
CUST000027,2023-11-03,Howrah,West Bengal,Mainstream,active
CUST000028,2023-04-05,Kolkata,West Bengal,Mainstream,active
CUST000029,2024-01-14,Bengaluru,Karnataka,Mainstream,active
CUST000030,2023-03-02,Lucknow,Uttar Pradesh,Mainstream,active
CUST000031,2024-01-08,Rajkot,Gujarat,Value,active
CUST000032,2023-03-01,Silchar,Assam,Mainstream,active
CUST000033,2023-07-16,Bhubaneswar,Odisha,Value,active
CUST000034,2024-02-18,Bhopal,Madhya Pradesh,Mainstream,churned
CUST000035,2023-04-16,Bhubaneswar,Odisha,Value,churned
CUST000036,2023-11-22,Hyderabad,Telangana,Value,churned
CUST000037,2023-09-17,Udaipur,Rajasthan,Value,active
CUST000038,2023-10-19,Madurai,Tamil Nadu,Health-focused,active
CUST000039,2023-04-08,Noida,Uttar Pradesh,Value,active
CUST000040,2023-09-07,Bengaluru,Karnataka,Mainstream,active
CUST000041,2024-02-20,Guwahati,Assam,Mainstream,active
CUST000042,2023-10-06,Kolkata,West Bengal,Mainstream,active
CUST000043,2023-03-19,Chandigarh,Punjab,Premium,active
CUST000044,2024-02-15,Noida,Uttar Pradesh,Health-focused,churned
CUST000045,2023-04-05,Dibrugarh,Assam,Value,active
CUST000046,2023-08-06,Jaipur,Rajasthan,Value,active
CUST000047,2024-02-25,Pune,Maharashtra,Mainstream,active
