factor_id,store_id,factor_date,is_holiday,temp_c,rainfall_mm,trend_index,cpi_index,year,week
F000000001,ST0001,2023-02-26,False,24.16,2.2,102.25,99.12,2023,8
F000000002,ST0001,2023-03-05,False,21.21,0.0,104.28,100.86,2023,9
F000000003,ST0001,2023-03-12,False,19.23,0.0,94.0,101.21,2023,10
F000000004,ST0001,2023-03-19,False,22.08,10.86,98.65,101.76,2023,11
F000000005,ST0001,2023-03-26,False,27.6,2.89,95.03,100.17,2023,12
F000000006,ST0001,2023-04-02,False,22.64,5.79,113.32,101.26,2023,13
F000000007,ST0001,2023-04-09,False,24.81,7.4,95.75,99.79,2023,14
F000000008,ST0001,2023-04-16,False,24.29,0.0,98.57,101.15,2023,15
F000000009,ST0001,2023-04-23,False,27.1,3.14,108.74,100.04,2023,16
F000000010,ST0001,2023-04-30,False,30.06,9.2,102.28,99.99,2023,17
F000000011,ST0001,2023-05-07,False,30.4,0.0,102.55,102.04,2023,18
F000000012,ST0001,2023-05-14,False,26.74,1.16,100.08,101.56,2023,19
F000000013,ST0001,2023-05-21,False,33.63,0.0,107.63,100.47,2023,20
F000000014,ST0001,2023-05-28,False,23.4,14.67,104.3,101.41,2023,21
F000000015,ST0001,2023-06-04,False,34.31,6.65,95.77,100.76,2023,22
F000000016,ST0001,2023-06-11,False,29.39,7.83,96.26,100.58,2023,23
F000000017,ST0001,2023-06-18,False,33.77,0.0,99.59,102.77,2023,24
F000000018,ST0001,2023-06-25,False,30.64,0.0,101.83,102.7,2023,25
F000000019,ST0001,2023-07-02,False,31.75,3.63,100.63,101.26,2023,26
F000000020,ST0001,2023-07-09,False,36.92,4.66,105.46,102.28,2023,27
F000000021,ST0001,2023-07-16,False,34.73,2.67,102.84,102.13,2023,28
F000000022,ST0001,2023-07-23,False,36.18,0.0,101.78,102.84,2023,29
F000000023,ST0001,2023-07-30,False,33.48,4.46,110.29,101.86,2023,30
F000000024,ST0001,2023-08-06,False,34.14,14.25,101.23,101.27,2023,31
F000000025,ST0001,2023-08-13,False,34.74,5.9,106.94,103.75,2023,32
F000000026,ST0001,2023-08-20,False,35.38,13.74,98.43,102.58,2023,33
F000000027,ST0001,2023-08-27,False,31.52,20.08,106.18,101.41,2023,34
F000000028,ST0001,2023-09-03,False,25.43,15.23,97.61,103.06,2023,35
F000000029,ST0001,2023-09-10,False,33.53,27.92,99.64,103.68,2023,36
F000000030,ST0001,2023-09-17,False,30.31,13.11,99.09,101.85,2023,37
F000000031,ST0001,2023-09-24,False,31.7,12.37,103.32,103.81,2023,38
F000000032,ST0001,2023-10-01,False,30.92,18.0,101.55,104.5,2023,39
F000000033,ST0001,2023-10-08,False,29.06,15.82,105.61,104.83,2023,40
F000000034,ST0001,2023-10-15,False,26.01,16.12,97.9,103.19,2023,41
F000000035,ST0001,2023-10-22,False,24.49,14.78,104.14,102.33,2023,42
F000000036,ST0001,2023-10-29,False,22.71,26.36,102.32,103.26,2023,43
F000000037,ST0001,2023-11-05,False,25.41,17.05,107.75,102.99,2023,44
F000000038,ST0001,2023-11-12,False,27.41,10.47,104.64,104.31,2023,45
F000000039,ST0001,2023-11-19,False,23.76,19.51,102.84,103.84,2023,46
F000000040,ST0001,2023-11-26,True,22.22,20.3,100.14,103.67,2023,47
F000000041,ST0001,2023-12-03,False,29.65,10.99,105.58,103.81,2023,48
F000000042,ST0001,2023-12-10,False,20.73,13.37,101.21,103.63,2023,49
F000000043,ST0001,2023-12-17,True,23.72,13.34,102.72,103.78,2023,50
F000000044,ST0001,2023-12-24,False,17.29,11.15,102.97,104.82,2023,51
F000000045,ST0001,2023-12-31,False,24.09,13.68,95.54,104.39,2023,52
F000000046,ST0001,2024-01-07,True,22.91,6.43,105.66,104.94,2024,1
F000000047,ST0001,2024-01-14,False,22.96,4.25,87.78,103.65,2024,2
F000000048,ST0001,2024-01-21,False,21.94,14.56,102.97,105.37,2024,3
F000000049,ST0001,2024-01-28,False,24.55,0.0,103.57,104.62,2024,4
F000000050,ST0001,2024-02-04,False,20.42,9.27,106.5,105.19,2024,5
F000000051,ST0001,2024-02-11,False,19.34,7.33,93.86,104.95,2024,6
F000000052,ST0001,2024-02-18,False,18.24,0.05,104.95,105.9,2024,7
F000000053,ST0001,2024-02-25,True,22.76,0.06,104.69,103.12,2024,8
F000000054,ST0001,2024-03-03,False,22.45,14.08,106.01,105.49,2024,9
F000000055,ST0001,2024-03-10,False,23.22,15.67,106.8,104.81,2024,10
F000000056,ST0001,2024-03-17,False,25.75,0.0,101.99,104.68,2024,11
F000000057,ST0001,2024-03-24,False,25.94,7.94,106.46,105.25,2024,12
F000000058,ST0001,2024-03-31,False,25.01,9.91,109.37,105.37,2024,13
F000000059,ST0001,2024-04-07,False,28.46,8.42,99.34,105.92,2024,14
F000000060,ST0001,2024-04-14,False,27.86,6.78,107.38,106.12,2024,15
F000000061,ST0001,2024-04-21,False,25.89,0.0,107.34,106.04,2024,16
F000000062,ST0001,2024-04-28,False,27.02,4.91,103.2,106.37,2024,17
F000000063,ST0001,2024-05-05,False,33.67,0.0,97.57,105.14,2024,18
F000000064,ST0001,2024-05-12,False,32.58,1.71,104.65,105.27,2024,19
F000000065,ST0001,2024-05-19,False,26.93,2.41,101.29,104.58,2024,20
F000000066,ST0001,2024-05-26,False,30.88,4.77,104.66,105.98,2024,21
F000000067,ST0001,2024-06-02,False,33.48,21.18,105.96,104.85,2024,22
F000000068,ST0001,2024-06-09,False,30.12,5.95,100.87,107.87,2024,23
F000000069,ST0001,2024-06-16,False,31.89,0.0,97.29,108.64,2024,24
F000000070,ST0001,2024-06-23,True,28.14,3.7,101.71,106.61,2024,25
F000000071,ST0001,2024-06-30,False,30.62,0.0,108.0,105.21,2024,26
F000000072,ST0001,2024-07-07,False,34.21,13.6,105.08,107.05,2024,27
F000000073,ST0001,2024-07-14,False,32.86,9.56,106.76,105.36,2024,28
F000000074,ST0001,2024-07-21,False,33.04,18.97,103.12,106.15,2024,29
F000000075,ST0001,2024-07-28,False,31.28,15.26,97.54,105.51,2024,30
F000000076,ST0001,2024-08-04,False,34.39,7.25,98.86,106.75,2024,31
F000000077,ST0001,2024-08-11,False,30.17,9.33,110.65,105.56,2024,32
F000000078,ST0001,2024-08-18,False,31.16,10.52,111.22,106.76,2024,33
F000000079,ST0001,2024-08-25,False,35.43,14.34,97.5,106.82,2024,34
F000000080,ST0001,2024-09-01,False,27.61,5.92,103.97,108.22,2024,35
F000000081,ST0001,2024-09-08,False,33.98,18.51,103.18,108.54,2024,36
F000000082,ST0001,2024-09-15,False,30.18,16.35,104.8,107.78,2024,37
F000000083,ST0001,2024-09-22,False,33.76,15.67,105.37,107.8,2024,38
F000000084,ST0001,2024-09-29,True,31.41,20.54,106.11,109.21,2024,39
F000000085,ST0001,2024-10-06,False,29.55,14.83,95.68,106.4,2024,40
F000000086,ST0001,2024-10-13,False,22.89,23.55,107.67,107.49,2024,41
F000000087,ST0001,2024-10-20,False,26.34,9.48,108.14,108.64,2024,42
F000000088,ST0001,2024-10-27,False,28.81,12.65,103.87,107.04,2024,43
F000000089,ST0001,2024-11-03,True,26.92,13.06,97.35,107.92,2024,44
